original_title;title
Sinbad: Legend of the Seven Seas;Sinbad: Legend of the Seven Seas
Event Horizon;Event Horizon
Dragonfly;Dragonfly
The Black Dahlia;The Black Dahlia
Flyboys;Flyboys
The Last Castle;The Last Castle
Supernova;Supernova
Winter's Tale;Winter's Tale
The Mortal Instruments: City of Bones;The Mortal Instruments: City of Bones
Meet Dave;Meet Dave
Dark Water;Dark Water
Edtv;Edtv
Inkheart;Inkheart
The Spirit;The Spirit
Mortdecai;Mortdecai
In the Name of the King: A Dungeon Siege Tale;In the Name of the King: A Dungeon Siege Tale
Beyond Borders;Beyond Borders
西游记之孙悟空三打白骨精;The Monkey King 2
The Great Raid;The Great Raid
Deadpool;Deadpool
Holy Man;Holy Man
American Sniper;American Sniper
Goosebumps;Goosebumps
Just Like Heaven;Just Like Heaven
The Flintstones in Viva Rock Vegas;The Flintstones in Viva Rock Vegas
Rambo III;Rambo III
Leatherheads;Leatherheads
The Ridiculous 6;The Ridiculous 6
Did You Hear About the Morgans?;Did You Hear About the Morgans?
The Internship;The Internship
Resident Evil: Afterlife;Resident Evil: Afterlife
Red Tails;Red Tails
The Devil's Advocate;The Devil's Advocate
That's My Boy;That's My Boy
DragonHeart;DragonHeart
After the Sunset;After the Sunset
Ghost Rider: Spirit of Vengeance;Ghost Rider: Spirit of Vengeance
Captain Corelli's Mandolin;Captain Corelli's Mandolin
The Pacifier;The Pacifier
Walking Tall;Walking Tall
Forrest Gump;Forrest Gump
Alvin and the Chipmunks;Alvin and the Chipmunks
Meet the Parents;Meet the Parents
Pocahontas;Pocahontas
Superman;Superman
The Nutty Professor;The Nutty Professor
Hitch;Hitch
George of the Jungle;George of the Jungle
American Wedding;American Wedding
Captain Phillips;Captain Phillips
Date Night;Date Night
Casper;Casper
The Equalizer;The Equalizer
Maid in Manhattan;Maid in Manhattan
Crimson Tide;Crimson Tide
The Pursuit of Happyness;The Pursuit of Happyness
Flightplan;Flightplan
Disclosure;Disclosure
City of Angels;City of Angels
Kill Bill: Vol. 1;Kill Bill: Vol. 1
Bowfinger;Bowfinger
Kill Bill: Vol. 2;Kill Bill: Vol. 2
Tango & Cash;Tango & Cash
Death Becomes Her;Death Becomes Her
Shanghai Noon;Shanghai Noon
Executive Decision;Executive Decision
Mr. Popper's Penguins;Mr. Popper's Penguins
The Forbidden Kingdom;The Forbidden Kingdom
Free Birds;Free Birds
Alien³;Alien³
Evita;Evita
Ronin;Ronin
The Ghost and the Darkness;The Ghost and the Darkness
Paddington;Paddington
The Watch;The Watch
The Hunted;The Hunted
Instinct;Instinct
Stuck on You;Stuck on You
Semi-Pro;Semi-Pro
The Pirates! In an Adventure with Scientists!;The Pirates! In an Adventure with Scientists!
Changeling;Changeling
Chain Reaction;Chain Reaction
The Fan;The Fan
The Phantom of the Opera;The Phantom of the Opera
Elizabeth: The Golden Age;Elizabeth: The Golden Age
Æon Flux;Æon Flux
Gods and Generals;Gods and Generals
Turbulence;Turbulence
Imagine That;Imagine That
Muppets Most Wanted;Muppets Most Wanted
Thunderbirds;Thunderbirds
Burlesque;Burlesque
Un long dimanche de fiançailles;A Very Long Engagement
Lolita;Lolita
D-Tox;D-Tox
Blade II;Blade II
Seven Pounds;Seven Pounds
Bullet to the Head;Bullet to the Head
The Godfather: Part III;The Godfather: Part III
Elizabethtown;Elizabethtown
You, Me and Dupree;You, Me and Dupree
Superman II;Superman II
Gigli;Gigli
All the King's Men;All the King's Men
Shaft;Shaft
Anastasia;Anastasia
Moulin Rouge!;Moulin Rouge!
Domestic Disturbance;Domestic Disturbance
Black Mass;Black Mass
Flags of Our Fathers;Flags of Our Fathers
Law Abiding Citizen;Law Abiding Citizen
Grindhouse;Grindhouse
Beloved;Beloved
Lucky You;Lucky You
Catch Me If You Can;Catch Me If You Can
Zero Dark Thirty;Zero Dark Thirty
The Break-Up;The Break-Up
Mamma Mia!;Mamma Mia!
Valentine's Day;Valentine's Day
The Dukes of Hazzard;The Dukes of Hazzard
The Thin Red Line;The Thin Red Line
The Change-Up;The Change-Up
Man on the Moon;Man on the Moon
Casino;Casino
From Paris with Love;From Paris with Love
Bulletproof Monk;Bulletproof Monk
Me, Myself & Irene;Me, Myself & Irene
Barnyard;Barnyard
Deck the Halls;Deck the Halls
The Twilight Saga: New Moon;The Twilight Saga: New Moon
Shrek;Shrek
The Adjustment Bureau;The Adjustment Bureau
Robin Hood: Prince of Thieves;Robin Hood: Prince of Thieves
Jerry Maguire;Jerry Maguire
Ted;Ted
As Good as It Gets;As Good as It Gets
Patch Adams;Patch Adams
Anchorman 2: The Legend Continues;Anchorman 2: The Legend Continues
Mr. Deeds;Mr. Deeds
Super 8;Super 8
Erin Brockovich;Erin Brockovich
How to Lose a Guy in 10 Days;How to Lose a Guy in 10 Days
22 Jump Street;22 Jump Street
Interview with the Vampire;Interview with the Vampire
Yes Man;Yes Man
Central Intelligence;Central Intelligence
Stepmom;Stepmom
Daddy's Home;Daddy's Home
Into the Woods;Into the Woods
Inside Man;Inside Man
Payback;Payback
Congo;Congo
We Bought a Zoo;We Bought a Zoo
Knowing;Knowing
Failure to Launch;Failure to Launch
The Ring Two;The Ring Two
Crazy, Stupid, Love.;Crazy, Stupid, Love.
Garfield;Garfield
Christmas with the Kranks;Christmas with the Kranks
Moneyball;Moneyball
Outbreak;Outbreak
Non-Stop;Non-Stop
Race to Witch Mountain;Race to Witch Mountain
V for Vendetta;V for Vendetta
Shanghai Knights;Shanghai Knights
Curious George;Curious George
Herbie Fully Loaded;Herbie Fully Loaded
Don't Say a Word;Don't Say a Word
Hansel & Gretel: Witch Hunters;Hansel & Gretel: Witch Hunters
Unfaithful;Unfaithful
I Am Number Four;I Am Number Four
Syriana;Syriana
13 Hours: The Secret Soldiers of Benghazi;13 Hours: The Secret Soldiers of Benghazi
The Book of Life;The Book of Life
Firewall;Firewall
Absolute Power;Absolute Power
G.I. Jane;G.I. Jane
The Game;The Game
Silent Hill;Silent Hill
The Replacements;The Replacements
American Reunion;American Reunion
The Negotiator;The Negotiator
Into the Storm;Into the Storm
Beverly Hills Cop III;Beverly Hills Cop III
Gremlins 2: The New Batch;Gremlins 2: The New Batch
The Judge;The Judge
The Peacemaker;The Peacemaker
Resident Evil: Apocalypse;Resident Evil: Apocalypse
Bridget Jones: The Edge of Reason;Bridget Jones: The Edge of Reason
Out of Time;Out of Time
On Deadly Ground;On Deadly Ground
The Adventures of Sharkboy and Lavagirl;The Adventures of Sharkboy and Lavagirl
The Beach;The Beach
Raising Helen;Raising Helen
Ninja Assassin;Ninja Assassin
For Love of the Game;For Love of the Game
Striptease;Striptease
Marmaduke;Marmaduke
Hereafter;Hereafter
Murder by Numbers;Murder by Numbers
Assassins;Assassins
Hannibal Rising;Hannibal Rising
The Story of Us;The Story of Us
The Host;The Host
Basic;Basic
Blood Work;Blood Work
The International;The International
Escape from L.A.;Escape from L.A.
The Iron Giant;The Iron Giant
The Life Aquatic with Steve Zissou;The Life Aquatic with Steve Zissou
Free State of Jones;Free State of Jones
The Life of David Gale;The Life of David Gale
Man of the House;Man of the House
Run All Night;Run All Night
Eastern Promises;Eastern Promises
Into the Blue;Into the Blue
Joan of Arc;The Messenger: The Story of Joan of Arc
Your Highness;Your Highness
Dream House;Dream House
Mad City;Mad City
Baby's Day Out;Baby's Day Out
The Scarlet Letter;The Scarlet Letter
Fair Game;Fair Game
Domino;Domino
Jade;Jade
Gamer;Gamer
Beautiful Creatures;Beautiful Creatures
Death to Smoochy;Death to Smoochy
Zoolander 2;Zoolander 2
The Big Bounce;The Big Bounce
What Planet Are You From?;What Planet Are You From?
Drive Angry;Drive Angry
Street Fighter: The Legend of Chun-Li;Street Fighter: The Legend of Chun-Li
The One;The One
The Adventures of Ford Fairlane;The Adventures of Ford Fairlane
The Boat That Rocked;The Boat That Rocked
Traffic;Traffic
Indiana Jones and the Last Crusade;Indiana Jones and the Last Crusade
Anna Karenina;Anna Karenina
Chappie;Chappie
The Bone Collector;The Bone Collector
Panic Room;Panic Room
The Tooth Fairy;The Tooth Fairy
Three Kings;Three Kings
Child 44;Child 44
Rat Race;Rat Race
K-PAX;K-PAX
Kate & Leopold;Kate & Leopold
Bedazzled;Bedazzled
The Cotton Club;The Cotton Club
3:10 to Yuma;3:10 to Yuma
Taken 3;Taken 3
Out of Sight;Out of Sight
The Cable Guy;The Cable Guy
1947: Earth;Earth
Dick Tracy;Dick Tracy
The Thomas Crown Affair;The Thomas Crown Affair
Riding in Cars with Boys;Riding in Cars with Boys
First Blood;First Blood
Солярис;Solaris
Happily N'Ever After;Happily N'Ever After
Mary Reilly;Mary Reilly
My Best Friend's Wedding;My Best Friend's Wedding
America's Sweethearts;America's Sweethearts
Insomnia;Insomnia
Star Trek: First Contact;Star Trek: First Contact
Jonah Hex;Jonah Hex
Courage Under Fire;Courage Under Fire
Liar Liar;Liar Liar
The Infiltrator;The Infiltrator
Inchon;Inchon
The Flintstones;The Flintstones
Taken 2;Taken 2
Scary Movie 3;Scary Movie 3
Miss Congeniality;Miss Congeniality
Journey to the Center of the Earth;Journey to the Center of the Earth
The Princess Diaries 2: Royal Engagement;The Princess Diaries 2: Royal Engagement
The Pelican Brief;The Pelican Brief
The Client;The Client
The Bucket List;The Bucket List
Patriot Games;Patriot Games
Monster-in-Law;Monster-in-Law
Prisoners;Prisoners
Training Day;Training Day
Galaxy Quest;Galaxy Quest
Scary Movie 2;Scary Movie 2
The Muppets;The Muppets
Blade;Blade
Coach Carter;Coach Carter
Changing Lanes;Changing Lanes
Anaconda;Anaconda
Coyote Ugly;Coyote Ugly
Love Actually;Love Actually
A Bug's Life;A Bug's Life
From Hell;From Hell
The Specialist;The Specialist
Tin Cup;Tin Cup
Yours, Mine and Ours;Yours, Mine and Ours
Kicking & Screaming;Kicking & Screaming
The Hitchhiker's Guide to the Galaxy;The Hitchhiker's Guide to the Galaxy
Fat Albert;Fat Albert
Resident Evil: Extinction;Resident Evil: Extinction
Blended;Blended
Last Holiday;Last Holiday
The River Wild;The River Wild
The Indian in the Cupboard;The Indian in the Cupboard
Savages;Savages
Cellular;Cellular
Johnny English;Johnny English
The Ant Bully;The Ant Bully
Dune;Dune
Across the Universe;Across the Universe
Revolutionary Road;Revolutionary Road
16 Blocks;16 Blocks
Babylon A.D.;Babylon A.D.
The Glimmer Man;The Glimmer Man
Multiplicity;Multiplicity
Aliens in the Attic;Aliens in the Attic
The Pledge;The Pledge
The Producers;The Producers
The Phantom;The Phantom
All the Pretty Horses;All the Pretty Horses
Nixon;Nixon
The Ghost Writer;The Ghost Writer
Deep Rising;Deep Rising
Miracle at St. Anna;Miracle at St. Anna
滿城盡帶黃金甲;Curse of the Golden Flower
Bangkok Dangerous;Bangkok Dangerous
Big Trouble;Big Trouble
Love in the Time of Cholera;Love in the Time of Cholera
Shadow Conspiracy;Shadow Conspiracy
Johnny English Reborn;Johnny English Reborn
Foodfight!;Foodfight!
Argo;Argo
The Fugitive;The Fugitive
The Bounty Hunter;The Bounty Hunter
Sleepers;Sleepers
Rambo: First Blood Part II;Rambo: First Blood Part II
The Juror;The Juror
Pinocchio;Pinocchio
Heaven's Gate;Heaven's Gate
Underworld: Evolution;Underworld: Evolution
Victor Frankenstein;Victor Frankenstein
Finding Forrester;Finding Forrester
28 Days;28 Days
Unleashed;Unleashed
The Sweetest Thing;The Sweetest Thing
The Firm;The Firm
Charlie St. Cloud;Charlie St. Cloud
The Mechanic;The Mechanic
21 Jump Street;21 Jump Street
Notting Hill;Notting Hill
Chicken Run;Chicken Run
Along Came Polly;Along Came Polly
Boomerang;Boomerang
The Heat;The Heat
Cleopatra;Cleopatra
Here Comes the Boom;Here Comes the Boom
High Crimes;High Crimes
The Mirror Has Two Faces;The Mirror Has Two Faces
The Mothman Prophecies;The Mothman Prophecies
Brüno;Brüno
Licence to Kill;Licence to Kill
Red Riding Hood;Red Riding Hood
15 Minutes;15 Minutes
Super Mario Bros.;Super Mario Bros.
Lord of War;Lord of War
英雄;Hero
One for the Money;One for the Money
The Interview;The Interview
The Warrior's Way;The Warrior's Way
Micmacs à tire-larigot;Micmacs
8 Mile;8 Mile
Pourquoi j'ai pas mangé mon père;Why I Did (Not) Eat My Father
A Knight's Tale;A Knight's Tale
The Medallion;The Medallion
The Sixth Sense;The Sixth Sense
Man on a Ledge;Man on a Ledge
The Big Year;The Big Year
The Karate Kid;The Karate Kid
American Hustle;American Hustle
The Proposal;The Proposal
Double Jeopardy;Double Jeopardy
Back to the Future Part II;Back to the Future Part II
Lucy;Lucy
Fifty Shades of Grey;Fifty Shades of Grey
Spy Kids 3-D: Game Over;Spy Kids 3-D: Game Over
A Time to Kill;A Time to Kill
Cheaper by the Dozen;Cheaper by the Dozen
Lone Survivor;Lone Survivor
A League of Their Own;A League of Their Own
The Conjuring 2;The Conjuring 2
The Social Network;The Social Network
He's Just Not That Into You;He's Just Not That Into You
Scary Movie 4;Scary Movie 4
Scream 3;Scream 3
Back to the Future Part III;Back to the Future Part III
Get Hard;Get Hard
Dracula;Dracula
Julie & Julia;Julie & Julia
42;42
The Talented Mr. Ripley;The Talented Mr. Ripley
Dumb and Dumber To;Dumb and Dumber To
Eight Below;Eight Below
The Intern;The Intern
Ride Along 2;Ride Along 2
The Last of the Mohicans;The Last of the Mohicans
Ray;Ray
Sin City;Sin City
Vantage Point;Vantage Point
I Love You, Man;I Love You, Man
Shallow Hal;Shallow Hal
JFK;JFK
Big Momma's House 2;Big Momma's House 2
The Mexican;The Mexican
17 Again;17 Again
The Other Woman;The Other Woman
The Final Destination;The Final Destination
Bridge of Spies;Bridge of Spies
Behind Enemy Lines;Behind Enemy Lines
Get Him to the Greek;Get Him to the Greek
Shall We Dance?;Shall We Dance?
Small Soldiers;Small Soldiers
Spawn;Spawn
The Count of Monte Cristo;The Count of Monte Cristo
The Lincoln Lawyer;The Lincoln Lawyer
Unknown;Unknown
The Prestige;The Prestige
Horrible Bosses 2;Horrible Bosses 2
Escape from Planet Earth;Escape from Planet Earth
Apocalypto;Apocalypto
The Living Daylights;The Living Daylights
Predators;Predators
Legal Eagles;Legal Eagles
Secret Window;Secret Window
The Lake House;The Lake House
The Skeleton Key;The Skeleton Key
The Odd Life of Timothy Green;The Odd Life of Timothy Green
Made of Honor;Made of Honor
Jersey Boys;Jersey Boys
The Rainmaker;The Rainmaker
Gothika;Gothika
Amistad;Amistad
Medicine Man;Medicine Man
Aliens vs Predator: Requiem;Aliens vs Predator: Requiem
Ri¢hie Ri¢h;Ri¢hie Ri¢h
Autumn in New York;Autumn in New York
Music and Lyrics;Music and Lyrics
Paul;Paul
The Guilt Trip;The Guilt Trip
Scream 4;Scream 4
8MM;8MM
The Doors;The Doors
Sex Tape;Sex Tape
Hanging Up;Hanging Up
Final Destination 5;Final Destination 5
Mickey Blue Eyes;Mickey Blue Eyes
Pay It Forward;Pay It Forward
Fever Pitch;Fever Pitch
Drillbit Taylor;Drillbit Taylor
A Million Ways to Die in the West;A Million Ways to Die in the West
The Shadow;The Shadow
Extremely Loud & Incredibly Close;Extremely Loud & Incredibly Close
Morning Glory;Morning Glory
Get Rich or Die Tryin';Get Rich or Die Tryin'
The Art of War;The Art of War
Rent;Rent
Bless the Child;Bless the Child
The Out-of-Towners;The Out-of-Towners
The Island of Dr. Moreau;The Island of Dr. Moreau
The Musketeer;The Musketeer
The Other Boleyn Girl;The Other Boleyn Girl
Sweet November;Sweet November
The Reaping;The Reaping
Mean Streets;Mean Streets
Renaissance Man;Renaissance Man
Colombiana;Colombiana
Quest for Camelot;Quest for Camelot
City By The Sea;City By The Sea
At First Sight;At First Sight
Torque;Torque
City Hall;City Hall
Showgirls;Showgirls
Marie Antoinette;Marie Antoinette
Kiss of Death;Kiss of Death
Get Carter;Get Carter
Lo imposible;The Impossible
Ishtar;Ishtar
Fantastic Mr. Fox;Fantastic Mr. Fox
Life or Something Like It;Life or Something Like It
Memoirs of an Invisible Man;Memoirs of an Invisible Man
Le fabuleux destin d'Amélie Poulain;Amélie
New York Minute;New York Minute
Alfie;Alfie
Big Miracle;Big Miracle
The Deep End of the Ocean;The Deep End of the Ocean
FearDotCom;FearDotCom
Cirque du Freak: The Vampire's Assistant;Cirque du Freak: The Vampire's Assistant
Duplex;Duplex
Soul Men;Soul Men
Raise the Titanic;Raise the Titanic
Universal Soldier: The Return;Universal Soldier: The Return
Pandorum;Pandorum
Impostor;Impostor
Extreme Ops;Extreme Ops
Just Visiting;Just Visiting
Sunshine;Sunshine
A Thousand Words;A Thousand Words
Delgo;Delgo
The Gunman;The Gunman
Stormbreaker;Stormbreaker
Disturbia;Disturbia
Hackers;Hackers
The Hunting Party;The Hunting Party
The Hudsucker Proxy;The Hudsucker Proxy
投名狀;The Warlords
Nomad;Nomad: The Warrior
Snowpiercer;Snowpiercer
Un monstre à Paris;A Monster in Paris
The Last Shot;The Last Shot
The Crow;The Crow
Baahubali: The Beginning;Baahubali: The Beginning
The Time Traveler's Wife;The Time Traveler's Wife
Because I Said So;Because I Said So
Frankenweenie;Frankenweenie
Serenity;Serenity
Against the Ropes;Against the Ropes
Superman III;Superman III
Grudge Match;Grudge Match
Chi bi;Red Cliff
Sweet Home Alabama;Sweet Home Alabama
The Ugly Truth;The Ugly Truth
Sgt. Bilko;Sgt. Bilko
Spy Kids 2: The Island of Lost Dreams;Spy Kids 2: The Island of Lost Dreams
Star Trek: Generations;Star Trek: Generations
一代宗師;The Grandmaster
Water for Elephants;Water for Elephants
Dragon Nest: Warriors' Dawn;Dragon Nest: Warriors' Dawn
The Hurricane;The Hurricane
Enough;Enough
Heartbreakers;Heartbreakers
Paul Blart: Mall Cop 2;Paul Blart: Mall Cop 2
Angel Eyes;Angel Eyes
Joe Somebody;Joe Somebody
The Ninth Gate;The Ninth Gate
Extreme Measures;Extreme Measures
Rock Star;Rock Star
Precious;Precious
White Squall;White Squall
The Thing;The Thing
Riddick;Riddick
Switchback;Switchback
Texas Rangers;Texas Rangers
City of Ember;City of Ember
The Master;The Master
Virgin Territory;Virgin Territory
The Express;The Express
The 5th Wave;The 5th Wave
Creed;Creed
The Town;The Town
What to Expect When You're Expecting;What to Expect When You're Expecting
Burn After Reading;Burn After Reading
Nim's Island;Nim's Island
Rush;Rush
Magnolia;Magnolia
Cop Out;Cop Out
How to Be Single;How to Be Single
Dolphin Tale;Dolphin Tale
Twilight;Twilight
John Q;John Q
Blue Streak;Blue Streak
We're the Millers;We're the Millers
Obitaemyy Ostrov;The Inhabited Island
Breakdown;Breakdown
Never Say Never Again;Never Say Never Again
Hot Tub Time Machine;Hot Tub Time Machine
Dolphin Tale 2;Dolphin Tale 2
Reindeer Games;Reindeer Games
A Man Apart;A Man Apart
Aloha;Aloha
Ghosts of Mississippi;Ghosts of Mississippi
Snow Falling on Cedars;Snow Falling on Cedars
The Rite;The Rite
Gattaca;Gattaca
Isn't She Great;Isn't She Great
Space Chimps;Space Chimps
Head of State;Head of State
The Hangover;The Hangover
葉問3;Ip Man 3
Austin Powers: The Spy Who Shagged Me;Austin Powers: The Spy Who Shagged Me
Batman;Batman
There Be Dragons;There Be Dragons
Lethal Weapon 3;Lethal Weapon 3
The Blind Side;The Blind Side
Spy Kids;Spy Kids
Horrible Bosses;Horrible Bosses
True Grit;True Grit
The Devil Wears Prada;The Devil Wears Prada
Star Trek: The Motion Picture;Star Trek: The Motion Picture
Identity Thief;Identity Thief
Cape Fear;Cape Fear
21;21
Trainwreck;Trainwreck
Guess Who;Guess Who
The English Patient;The English Patient
L.A. Confidential;L.A. Confidential
Sky High;Sky High
In & Out;In & Out
Species;Species
A Nightmare on Elm Street;A Nightmare on Elm Street
The Cell;The Cell
The Man in the Iron Mask;The Man in the Iron Mask
Secretariat;Secretariat
TMNT;TMNT
Radio;Radio
Friends with Benefits;Friends with Benefits
Neighbors 2: Sorority Rising;Neighbors 2: Sorority Rising
Saving Mr. Banks;Saving Mr. Banks
Malcolm X;Malcolm X
This Is 40;This Is 40
Old Dogs;Old Dogs
Underworld: Rise of the Lycans;Underworld: Rise of the Lycans
License to Wed;License to Wed
The Benchwarmers;The Benchwarmers
Must Love Dogs;Must Love Dogs
Donnie Brasco;Donnie Brasco
Resident Evil;Resident Evil
Poltergeist;Poltergeist
The Ladykillers;The Ladykillers
Max Payne;Max Payne
In Time;In Time
The Back-Up Plan;The Back-Up Plan
Something Borrowed;Something Borrowed
Black Knight;Black Knight
The Bad News Bears;The Bad News Bears
Street Fighter;Street Fighter
The Pianist;The Pianist
The Nativity Story;The Nativity Story
House of Wax;House of Wax
Closer;Closer
J. Edgar;J. Edgar
Mirrors;Mirrors
Queen of the Damned;Queen of the Damned
Predator 2;Predator 2
Untraceable;Untraceable
Blast from the Past;Blast from the Past
Flash Gordon;Flash Gordon
Jersey Girl;Jersey Girl
Alex Cross;Alex Cross
Midnight in the Garden of Good and Evil;Midnight in the Garden of Good and Evil
Heist;Heist
Nanny McPhee and the Big Bang;Nanny McPhee and the Big Bang
Hoffa;Hoffa
The X Files: I Want to Believe;The X Files: I Want to Believe
Ella Enchanted;Ella Enchanted
Concussion;Concussion
Abduction;Abduction
Valiant;Valiant
Wonder Boys;Wonder Boys
Superhero Movie;Superhero Movie
Broken City;Broken City
Cursed;Cursed
Premium Rush;Premium Rush
Hot Pursuit;Hot Pursuit
The Four Feathers;The Four Feathers
Parker;Parker
Wimbledon;Wimbledon
Furry Vengeance;Furry Vengeance
Bait;Bait
Krull;Krull
Lions for Lambs;Lions for Lambs
Flight of the Intruder;Flight of the Intruder
Walk Hard: The Dewey Cox Story;Walk Hard: The Dewey Cox Story
The Shipping News;The Shipping News
American Outlaws;American Outlaws
The Young Victoria;The Young Victoria
Whiteout;Whiteout
The Tree of Life;The Tree of Life
Knock Off;Knock Off
Sabotage;Sabotage
The Order;The Order
Punisher: War Zone;Punisher: War Zone
Zoom;Zoom
The Walk;The Walk
Warriors of Virtue;Warriors of Virtue
A Good Year;A Good Year
Radio Flyer;Radio Flyer
Bound by Honor;Bound by Honor
Smilla's Sense of Snow;Smilla's Sense of Snow
Femme Fatale;Femme Fatale
Lion of the Desert;Lion of the Desert
Le Hussard sur le toit;The Horseman on the Roof
Ride with the Devil;Ride with the Devil
Biutiful;Biutiful
Bandidas;Bandidas
Black Water Transit;Black Water Transit
The Maze Runner;The Maze Runner
Unfinished Business;Unfinished Business
The Age of Innocence;The Age of Innocence
The Fountain;The Fountain
Chill Factor;Chill Factor
Stolen;Stolen
崖の上のポニョ;Ponyo
The Longest Ride;The Longest Ride
The Astronaut's Wife;The Astronaut's Wife
I Dreamed of Africa;I Dreamed of Africa
Playing for Keeps;Playing for Keeps
Mandela: Long Walk to Freedom;Mandela: Long Walk to Freedom
Reds;Reds
A Few Good Men;A Few Good Men
Exit Wounds;Exit Wounds
Big Momma's House;Big Momma's House
The House of Magic;Thunder and the House of Magic
The Darkest Hour;The Darkest Hour
Step Up Revolution;Step Up Revolution
Snakes on a Plane;Snakes on a Plane
The Watcher;The Watcher
The Punisher;The Punisher
Goal!: The Dream Begins;Goal!: The Dream Begins
Safe;Safe
Pushing Tin;Pushing Tin
Return of the Jedi;Return of the Jedi
Doomsday;Doomsday
The Reader;The Reader
Wanderlust;Wanderlust
Elf;Elf
Phenomenon;Phenomenon
Snow Dogs;Snow Dogs
Scrooged;Scrooged
Nacho Libre;Nacho Libre
Bridesmaids;Bridesmaids
This Is the End;This Is the End
Stigmata;Stigmata
Men of Honor;Men of Honor
Takers;Takers
The Big Wedding;The Big Wedding
Big Mommas: Like Father, Like Son;Big Mommas: Like Father, Like Son
Source Code;Source Code
Alive;Alive
The Number 23;The Number 23
The Young and Prodigious T.S. Spivet;The Young and Prodigious T.S. Spivet
1941;1941
Dreamer: Inspired By a True Story;Dreamer: Inspired By a True Story
A History of Violence;A History of Violence
Transporter 2;Transporter 2
The Quick and the Dead;The Quick and the Dead
Laws of Attraction;Laws of Attraction
Bringing Out the Dead;Bringing Out the Dead
Repo Men;Repo Men
디워;Dragon Wars: D-War
Bogus;Bogus
The Incredible Burt Wonderstone;The Incredible Burt Wonderstone
Cats Don't Dance;Cats Don't Dance
Cradle Will Rock;Cradle Will Rock
The Good German;The Good German
George and the Dragon;George and the Dragon
Apocalypse Now;Apocalypse Now
Going the Distance;Going the Distance
Mr. Holland's Opus;Mr. Holland's Opus
Criminal;Criminal
Out of Africa;Out of Africa
Flight;Flight
Moonraker;Moonraker
The Grand Budapest Hotel;The Grand Budapest Hotel
Hearts in Atlantis;Hearts in Atlantis
Arachnophobia;Arachnophobia
Frequency;Frequency
Vacation;Vacation
Get Shorty;Get Shorty
Chicago;Chicago
Big Daddy;Big Daddy
American Pie 2;American Pie 2
Toy Story;Toy Story
Speed;Speed
The Vow;The Vow
Extraordinary Measures;Extraordinary Measures
Remember the Titans;Remember the Titans
The Hunt for Red October;The Hunt for Red October
The Butler;The Butler
DodgeBall: A True Underdog Story;DodgeBall: A True Underdog Story
The Addams Family;The Addams Family
Ace Ventura: When Nature Calls;Ace Ventura: When Nature Calls
The Princess Diaries;The Princess Diaries
The First Wives Club;The First Wives Club
Se7en;Se7en
District 9;District 9
The SpongeBob SquarePants Movie;The SpongeBob SquarePants Movie
Mystic River;Mystic River
Million Dollar Baby;Million Dollar Baby
Analyze This;Analyze This
The Notebook;The Notebook
27 Dresses;27 Dresses
Hannah Montana: The Movie;Hannah Montana: The Movie
Rugrats in Paris: The Movie;Rugrats in Paris: The Movie
The Prince of Tides;The Prince of Tides
Legends of the Fall;Legends of the Fall
Up in the Air;Up in the Air
About Schmidt;About Schmidt
Warm Bodies;Warm Bodies
Looper;Looper
Down to Earth;Down to Earth
Babe;Babe
Hope Springs;Hope Springs
Forgetting Sarah Marshall;Forgetting Sarah Marshall
Four Brothers;Four Brothers
Baby Mama;Baby Mama
Hope Floats;Hope Floats
Bride Wars;Bride Wars
Without a Paddle;Without a Paddle
13 Going on 30;13 Going on 30
Midnight in Paris;Midnight in Paris
The Nut Job;The Nut Job
Blow;Blow
Message in a Bottle;Message in a Bottle
Star Trek V: The Final Frontier;Star Trek V: The Final Frontier
Like Mike;Like Mike
The Naked Gun 33⅓: The Final Insult;The Naked Gun 33⅓: The Final Insult
A View to a Kill;A View to a Kill
The Curse of the Were-Rabbit;The Curse of the Were-Rabbit
P.S. I Love You;P.S. I Love You
Racing Stripes;Racing Stripes
Atonement;Atonement
Letters to Juliet;Letters to Juliet
Black Rain;Black Rain
The Three Stooges;The Three Stooges
Corpse Bride;Corpse Bride
Glory Road;Glory Road
Sicario;Sicario
Southpaw;Southpaw
Drag Me to Hell;Drag Me to Hell
The Age of Adaline;The Age of Adaline
Secondhand Lions;Secondhand Lions
Step Up 3D;Step Up 3D
Blue Crush;Blue Crush
Stranger Than Fiction;Stranger Than Fiction
30 Days of Night;30 Days of Night
The Cabin in the Woods;The Cabin in the Woods
Meet the Spartans;Meet the Spartans
Midnight Run;Midnight Run
The Running Man;The Running Man
Little Shop of Horrors;Little Shop of Horrors
Hanna;Hanna
Mortal Kombat: Annihilation;Mortal Kombat: Annihilation
Larry Crowne;Larry Crowne
Carrie;Carrie
Take the Lead;Take the Lead
Gridiron Gang;Gridiron Gang
What's the Worst That Could Happen?;What's the Worst That Could Happen?
9;9
Side Effects;Side Effects
The Prince & Me;The Prince & Me
Winnie the Pooh;Winnie the Pooh
Dumb and Dumberer: When Harry Met Lloyd;Dumb and Dumberer: When Harry Met Lloyd
Bulworth;Bulworth
Get on Up;Get on Up
One True Thing;One True Thing
Virtuosity;Virtuosity
My Super Ex-Girlfriend;My Super Ex-Girlfriend
Deliver Us from Evil;Deliver Us from Evil
Sanctum;Sanctum
Little Black Book;Little Black Book
The Five-Year Engagement;The Five-Year Engagement
Mr. 3000;Mr. 3000
